date,site,quadrat,transect_location (m),sample,shore_height (m),aggregate_size,anemone_weight (g),photo_id,photo_time,ir_photo_time,tide_height_time,notes,,,,,,,,,,,,,,,
Aug 7,ross,reference,,,4.9,,,,,,,,,,,,,,,,,,,,,,
Aug 7,ross,1,0,1,3.65,20,1.3512,1.1,8:04,,,,,,,,,,,,,,,,,,
Aug 7,ross,1,0,2,3.65,20,4.0335,1.2,8:04,,,,,,,,,,,,,,,,,,
Aug 7,ross,1,0,3,3.65,20,0.3571,1.3,8:04,,,,,,,,,,,,,,,,,,
Aug 7,ross,1,0,4,3.65,20,0.6337,2.1,8:13,,,,,,,,,,,,,,,,,,
Aug 7,ross,1,0,5,3.65,20,0.2096,2.2,8:13,,,,,,,,,,,,,,,,,,
Aug 7,ross,2,1,6,3.72,25,0.5719,1.1,8:21,,,,,,,,,,,,,,,,,,
Aug 7,ross,2,1,7,3.72,25,0.8633,1.2,8:21,,,,,,,,,,,,,,,,,,
Aug 7,ross,2,1,8,3.72,25,0.2291,1.3,8:21,,,,,,,,,,,,,,,,,,
Aug 7,ross,2,1,9,3.72,25,0.486,2.1,8:25,,,,,,,,,,,,,,,,,,
Aug 7,ross,2,1,10,3.72,25,1.687,2.2,8:25,,,in a tidepool,,,,,,,,,,,,,,,
Aug 7,ross,3,2,11,3.68,19,1.128,1.1,8:33,,,,,,,,,,,,,,,,,,
Aug 7,ross,3,2,12,3.68,19,4.6995,1.2,8:33,,,,,,,,,,,,,,,,,,
Aug 7,ross,3,2,13,3.68,19,0.3131,1.3,8:33,,,,,,,,,,,,,,,,,,
Aug 7,ross,3,2,14,3.68,19,0.2234,2.2,,,,,,,,,,,,,,,,,,,
Aug 7,ross,3,2,15,3.68,19,0.1649,2.3,8:46,,,,,,,,,,,,,,,,,,
Aug 7,ross,4,3,16,3.65,13,1.1232,1.1,8:51,,,,,,,,,,,,,,,,,,
Aug 7,ross,4,3,17,3.65,13,0.3318,2.1,8:56,,,,,,,,,,,,,,,,,,
